id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0724898,301.452907,35.599439,4.777778e-05,4.861111e-05,2,16.404,0.179,2,15.426,0.018,0,,,2,15.736,0.03,2,15.065,0.019,2,14.822,0.045,0,,,0,,
125-0725018,301.463237,35.591298,6.5e-05,7.111111e-05,1,17.187,0.124,1,16.597,0.108,0,,,1,16.659,0.049,1,16.19,0.078,1,15.971,0.149,0,,,0,,
125-0725143,301.473665,35.590577,3.3333334e-05,4.861111e-05,2,15.387,0.024,2,14.739,0.053,0,,,2,14.978,0.001,2,14.499,0.032,2,14.277,0.023,0,,,0,,
125-0724719,301.440173,35.612051,5.527778e-05,6.0277776e-05,1,16.551,0.094,1,15.894,0.09,0,,,2,16.22,0.112,2,15.675,0.079,2,15.268,0.049,0,,,0,,
125-0725732,301.520577,35.507729,5.8888887e-05,7.666666e-05,2,16.014,0.045,2,15.004,0.003,0,,,2,15.474,0.01,2,14.58,0.012,2,14.087,0.008,0,,,0,,
125-0725804,301.526518,35.506672,0.00019527778,8.388889e-05,0,,,0,,,0,,,1,17.518,0.11,1,16.164,0.093,1,15.603,0.134,0,,,0,,
125-0725848,301.530141,35.504953,7.2222224e-06,6.5277774e-05,0,,,0,,,0,,,1,17.265,0.092,1,16.188,0.099,0,,,0,,,0,,
125-0725776,301.524451,35.516248,0.00015250001,6.388889e-05,0,,,0,,,0,,,1,17.327,0.118,1,16.427,0.134,0,,,0,,,0,,
125-0726107,301.548506,35.505759,3.361111e-05,2.3611112e-05,2,15.133,0.052,2,14.42,0.004,0,,,2,14.737,0.024,2,14.257,0.027,2,14.067,0.031,0,,,0,,
125-0726178,301.553593,35.504498,4.5833334e-05,4.4444445e-05,2,15.815,0.027,2,15.123,0.034,0,,,2,15.447,0.024,2,14.941,0.026,2,14.665,0.0,0,,,0,,
125-0725920,301.535687,35.527997,0.00010333334,7.222222e-05,1,17.704,0.209,1,16.35,0.098,0,,,1,16.813,0.065,1,15.92,0.075,1,15.386,0.106,0,,,0,,
125-0726026,301.543481,35.518288,4.6944446e-05,7.305556e-05,1,17.273,0.128,1,15.801,0.059,0,,,2,16.57,0.005,2,15.225,0.015,2,14.568,0.091,0,,,0,,
125-0726143,301.550927,35.520308,9.388889e-05,9.055556e-05,1,17.033,0.106,1,16.049,0.068,0,,,2,16.457,0.069,2,15.521,0.001,2,15.136,0.099,0,,,0,,
125-0726373,301.568743,35.522636,5.9444446e-05,5.75e-05,2,14.438,0.01,2,13.665,0.014,0,,,2,13.991,0.004,2,13.401,0.015,2,13.135,0.003,1,13.057,0.095,0,,
125-0726430,301.572343,35.51424,8.5e-05,9.805555e-05,2,15.731,0.031,2,14.64,0.014,0,,,2,15.174,0.014,2,14.227,0.015,2,13.819,0.007,0,,,0,,
125-0726705,301.592665,35.513385,0.00025305556,0.000101944446,2,15.761,0.028,2,15.095,0.019,0,,,2,15.375,0.0,2,14.885,0.005,1,14.733,0.054,0,,,0,,
125-0725894,301.533594,35.53759,9e-05,8.3611114e-05,0,,,0,,,0,,,1,17.256,0.097,1,16.451,0.118,1,16.103,0.181,0,,,0,,
125-0725750,301.521822,35.544827,4.833333e-05,4.4166663e-05,1,17.673,0.196,1,16.554,0.122,0,,,1,16.867,0.074,1,16.407,0.122,0,,,0,,,0,,
125-0726159,301.552037,35.535436,7.861111e-05,2.8333332e-05,1,17.183,0.126,1,16.483,0.105,0,,,1,16.85,0.062,1,16.076,0.081,1,15.982,0.163,0,,,0,,
125-0726103,301.548331,35.543341,5.166667e-05,7.833334e-05,0,,,0,,,0,,,1,16.747,0.066,1,15.924,0.084,0,,,0,,,0,,
125-0725742,301.521212,35.554959,0.00016027778,0.00015194445,1,17.704,0.204,1,16.444,0.102,0,,,1,17.248,0.087,1,16.166,0.089,1,15.48,0.104,0,,,0,,
125-0725799,301.526311,35.555368,8.583333e-05,3.5e-05,0,,,0,,,0,,,1,17.205,0.094,1,16.534,0.136,1,16.104,0.199,0,,,0,,
125-0725970,301.539379,35.553776,3.0277777e-05,3.111111e-05,2,14.7,0.037,2,14.119,0.009,0,,,2,14.37,0.007,2,13.95,0.005,2,13.787,0.002,0,,,0,,
125-0726028,301.543634,35.547071,0.00010722222,5.222222e-05,1,16.926,0.101,1,16.188,0.083,0,,,2,16.47,0.001,2,15.807,0.033,2,15.453,0.016,0,,,0,,
125-0726277,301.561854,35.536804,7.166666e-05,5.1944447e-05,1,16.323,0.062,1,15.692,0.058,0,,,2,15.967,0.007,2,15.329,0.009,2,14.969,0.009,0,,,0,,
125-0726457,301.573723,35.534202,0.0001075,7.222222e-05,2,14.767,0.005,2,14.214,0.011,0,,,2,14.455,0.022,2,14.039,0.005,1,13.863,0.027,0,,,0,,
125-0726518,301.578404,35.532595,0.00014777778,3.8055554e-05,2,12.655,0.018,2,12.138,0.001,0,,,2,12.344,0.009,2,12.024,0.016,2,11.923,0.01,0,,,0,,
125-0726300,301.563512,35.54128,0.000103888895,0.0001175,0,,,0,,,0,,,1,17.417,0.126,1,16.706,0.175,0,,,0,,,0,,
